"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
26, 0, 0.994586921094172, 0, 1.0421462055611, 51, 83, 0, 1.00192232157377, 0, 1.01258227598769, 610, 610
27, 0, 0.995431074411387, 0, 1.04362207638914, 11, 83, 0, 1.00305090410749, 0, 1.01341681305771, 610, 610
28, 0, 0.996377737408072, 0, 1.04584970123082, 11, 83, 0, 1.00475261630103, 0, 1.01467170513105, 610, 610
29, 0, 0.996489795328528, 0, 1.0461129960036, 11, 83, 0, 1.00495403188831, 0, 1.01482049060311, 610, 610
30, 0, 0.995663809469247, 0, 1.04417105109585, 11, 83, 0, 1.00346972327409, 0, 1.01372438811781, 610, 610
31, 0, 0.992655018051395, 0, 1.03938663086804, 51, 83, 0, 0.999816292482742, 0, 1.01102793066893, 610, 610
32, 0, 0.986298969416817, 0, 1.03787019326958, 65, 83, 0, 0.993762165385369, 0, 1.00659180201089, 610, 610
33, 0, 0.979623112948883, 0, 1.03713626052646, 65, 83, 0, 0.988130413329124, 0, 1.00251828235244, 610, 610
34, 0, 0.982471005744556, 0, 1.04565904410522, 65, 83, 0, 0.991370005831928, 0, 1.00670466950417, 610, 610
35, 0, 0.977589328228395, 0, 1.04012551091559, 65, 83, 0, 0.987242827941153, 0, 1.00367172166038, 610, 610
36, 0, 0.973574492784679, 0, 1.03687847777115, 65, 83, 0, 0.98385371136604, 0, 1.00118474543266, 610, 610
37, 0, 0.973896165163556, 0, 1.03705655073067, 65, 83, 0, 0.984126075388778, 0, 1.00138672993326, 610, 610
38, 0, 0.974305823448875, 0, 1.03727301212337, 65, 83, 0, 0.984471848658815, 0, 1.00164064391376, 610, 610
39, 0, 0.980032101434898, 0, 1.04351803874341, 65, 83, 0, 0.990296183464007, 0, 1.00760887410532, 610, 610
40, 0, 0.979292664306071, 0, 1.04311435539099, 65, 83, 0, 0.989670228219775, 0, 1.00714563063479, 610, 610
41, 0, 0.979203811432743, 0, 1.04307481933681, 65, 83, 0, 0.989596255719433, 0, 1.0070932475534, 610, 610
42, 0, 0.982651035150785, 0, 1.04546923932959, 65, 83, 0, 0.992500575280705, 0, 1.00922050449569, 610, 610
43, 0, 0.984441834690558, 0, 1.04749902517623, 65, 83, 0, 0.994015122820296, 0, 1.01033368114424, 610, 610
