Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "4.16 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "4.16 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "4.16 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "4.16 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "4.16 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
21, 2577.52644062656, 673.605090553541, 2761.6619893661, 2872.64849719014, 2528.23729441994, 1391.37941660226, 2705.10754896502, 3087.57607384641, 247.940761956469, 0, 269.083505674321, 0, 49.2972506759355, 98.4590486915324, 56.5675505581173, 113.097321950772, 49.2972506759355, 98.4590486915324, 0, 0, 56.5675505581173, 0, 49.2972309214309, 0.0000197545045472325, 45.9813181032411, 1.57006805227312, 47.5513861555157, 1.74584476591518, 0, 0, 0, 0, 49.2972506759355, 0, 0, 0, 0, 0, 0, 49.2972309214309, 0, 0, 0, 0, 0, 0, 0.0000197545045472325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2528.23729441994, 0, 0, 0, 0, 0, 0
22, 2433.11962092229, 589.128680046804, 2761.6619893661, 2872.64849719014, 2389.0918404428, 1314.90414617295, 2705.10754896502, 3087.57607384641, 92.6503973583984, 0, 94.5751843750704, 0, 44.0524923022021, 87.9036612824469, 56.5675505581173, 113.097321950772, 44.0524923022021, 87.9036612824469, 0, 0, 56.5675505581173, 0, 44.0524744406662, 0.0000178615359235682, 41.0775540708802, 1.40816262079963, 42.4857166916804, 1.56675774898584, 0, 0, 0, 0, 44.0524923022021, 0, 0, 0, 0, 0, 0, 44.0524744406662, 0, 0, 0, 0, 0, 0, 0.0000178615359235682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2389.0918404428, 0, 0, 0, 0, 0, 0
23, 2219.30329213964, 455.04324785652, 2761.6619893661, 2872.64849719014, 2182.35783811108, 1201.35704172712, 2705.10754896502, 3087.57607384641, 0, 0, 0, 0, 36.960355400881, 73.6329342240163, 56.5675505581173, 113.097321950772, 36.960355400881, 73.6329342240163, 0, 0, 56.5675505581173, 0, 36.9603398871337, 0.000015513747226572, 34.4901709221331, 1.16054947038491, 35.6507203925174, 1.3096194946164, 0, 0, 0, 0, 36.960355400881, 0, 0, 0, 0, 0, 0, 36.9603398871337, 0, 0, 0, 0, 0, 0, 0.000015513747226572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2182.35783811108, 0, 0, 0, 0, 0, 0
24, 1950.34292026718, 308.97993298258, 2761.6619893661, 2872.64849719014, 1920.91937826156, 1057.21055411516, 2705.10754896502, 3087.57607384641, 0, 0, 0, 0, 29.4648966144166, 58.5561195622779, 56.5675505581173, 113.097321950772, 29.4648966144166, 58.5561195622779, 0, 0, 56.5675505581173, 0, 29.4648836285791, 0.0000129858374623955, 27.5307542234043, 0.894973977895204, 28.425728201298, 1.0391554272811, 0, 0, 0, 0, 29.4648966144166, 0, 0, 0, 0, 0, 0, 29.4648836285791, 0, 0, 0, 0, 0, 0, 0.0000129858374623955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1920.91937826156, 0, 0, 0, 0, 0, 0
25, 1756.50512135541, 189.749793427547, 2761.6619893661, 2872.64849719014, 1731.88199757447, 953.362601439395, 2705.10754896502, 3087.57607384641, 0, 0, 0, 0, 24.6101770906717, 48.7971958052154, 56.5675505581173, 113.097321950772, 24.6101770906717, 48.7971958052154, 0, 0, 56.5675505581173, 0, 24.6101655544345, 0.0000115362372382235, 23.0383370074354, 0.719178005226862, 23.7575150126634, 0.852650541771124, 0, 0, 0, 0, 24.6101770906717, 0, 0, 0, 0, 0, 0, 24.6101655544345, 0, 0, 0, 0, 0, 0, 0.0000115362372382235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1731.88199757447, 0, 0, 0, 0, 0, 0
26, 1644.67275313462, 124.785802270014, 2761.6619893661, 2872.64849719014, 1622.57893839743, 893.244132089649, 2705.10754896502, 3087.57607384641, 0, 0, 0, 0, 22.0996492131209, 43.755592131157, 56.5675505581173, 113.097321950772, 22.0996492131209, 43.755592131157, 0, 0, 56.5675505581173, 0, 22.099638433543, 0.0000107795778548089, 20.7207484823306, 0.622570078822342, 21.3433185611519, 0.756319872391142, 0, 0, 0, 0, 22.0996492131209, 0, 0, 0, 0, 0, 0, 22.099638433543, 0, 0, 0, 0, 0, 0, 0.0000107795778548089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1622.57893839743, 0, 0, 0, 0, 0, 0
27, 1585.46820611545, 88.7373780353616, 2761.6619893661, 2872.64849719014, 1564.52799361537, 861.376442176188, 2705.10754896502, 3087.57607384641, 0, 0, 0, 0, 20.872986433755, 41.2911239899434, 56.5675505581173, 113.097321950772, 20.872986433755, 41.2911239899434, 0, 0, 56.5675505581173, 0, 20.8729759877146, 0.0000104460404344626, 19.5891028800112, 0.576797723673352, 20.1659006036847, 0.707075384029886, 0, 0, 0, 0, 20.872986433755, 0, 0, 0, 0, 0, 0, 20.8729759877146, 0, 0, 0, 0, 0, 0, 0.0000104460404344626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1564.52799361537, 0, 0, 0, 0, 0, 0
28, 1570.10643658052, 79.4026434462764, 2761.6619893661, 2872.64849719014, 1549.52425876964, 853.096393997387, 2705.10754896502, 3087.57607384641, 0, 0, 0, 0, 20.5647679455718, 40.6717828207048, 56.5675505581173, 113.097321950772, 20.5647679455718, 40.6717828207048, 0, 0, 56.5675505581173, 0, 20.5647575819925, 0.0000103635793331339, 19.3051212608872, 0.565050157092345, 19.8701714179791, 0.6945861640134, 0, 0, 0, 0, 20.5647679455718, 0, 0, 0, 0, 0, 0, 20.5647575819925, 0, 0, 0, 0, 0, 0, 0.0000103635793331339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1549.52425876964, 0, 0, 0, 0, 0, 0
29, 1600.92981779167, 98.1478692617259, 2761.6619893661, 2872.64849719014, 1579.77800909632, 869.696503803751, 2705.10754896502, 3087.57607384641, 0, 0, 0, 0, 21.1868316735802, 41.9214651191889, 56.5675505581173, 113.097321950772, 21.1868316735802, 41.9214651191889, 0, 0, 56.5675505581173, 0, 21.186821142962, 0.0000105306182104361, 19.8787078034254, 0.588395868679197, 20.4671036721049, 0.719717470857174, 0, 0, 0, 0, 21.1868316735802, 0, 0, 0, 0, 0, 0, 21.186821142962, 0, 0, 0, 0, 0, 0, 0.0000105306182104361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1579.77800909632, 0, 0, 0, 0, 0, 0
30, 1715.54768344225, 168.053672210199, 2761.6619893661, 2872.64849719014, 1691.90028559483, 931.349829575182, 2705.10754896502, 3087.57607384641, 0, 0, 0, 0, 23.6525395251099, 46.8762730916572, 56.5675505581173, 113.097321950772, 23.6525395251099, 46.8762730916572, 0, 0, 56.5675505581173, 0, 23.6525283124096, 0.0000112127003288659, 22.1545195797429, 0.680132910179289, 22.8346524899226, 0.817875822487046, 0, 0, 0, 0, 23.6525395251099, 0, 0, 0, 0, 0, 0, 23.6525283124096, 0, 0, 0, 0, 0, 0, 0.0000112127003288659, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1691.90028559483, 0, 0, 0, 0, 0, 0
