"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
404, "Line.l115", 400, 600, 112.079242820443, 74.7194952136288, 2.40177711982884, 448.316971281773, 290.215301238007, 357.927813648039 
404, "Line.l3", 400, 600, 108.78849138666, 72.5256609244397, 2.40177711982884, 435.153965546638, 283.762991919571, 325.172350510902 
404, "Line.l7", 400, 600, 107.136056101349, 71.424037400899, 2.40177711982884, 428.544224405394, 283.763143753236, 325.172472382854 
404, "Line.sw1", 400, 600, 112.079242826555, 74.7194952177036, 2.40177711982884, 448.316971306221, 290.215301693743, 357.92781377495 
405, "Line.l115", 400, 600, 107.219790775275, 71.47986051685, 2.40177711982884, 428.8791631011, 277.609571814836, 342.497040302004 
405, "Line.l3", 400, 600, 104.069290932637, 69.3795272884247, 2.40177711982884, 416.277163730548, 271.442801879759, 311.173492760295 
405, "Line.l7", 400, 600, 102.488045702718, 68.3253638018119, 2.40177711982884, 409.952182810872, 271.442936115707, 311.173601245896 
405, "Line.sw1", 400, 600, 107.219790794668, 71.4798605297787, 2.40177711982884, 428.879163178672, 277.609571755968, 342.497040319841 
406, "Line.l115", 400, 600, 100.240029037188, 66.8266860247922, 2.40177711982884, 400.960116148753, 259.571515770484, 320.359497953629 
406, "Line.sw1", 400, 600, 100.240029089426, 66.8266860596174, 2.40177711982884, 400.960116357704, 259.571515938884, 320.359498219282 
420, "Line.l115", 400, 600, 100.557409249026, 67.0382728326841, 2.40177711982884, 402.229636996105, 260.703142378322, 321.485804739686 
420, "Line.sw1", 400, 600, 100.557409250437, 67.0382728336249, 2.40177711982884, 402.229637001749, 260.703142597854, 321.485804510355 
421, "Line.l115", 400, 600, 108.676346397379, 72.4508975982528, 2.40177711982884, 434.705385589517, 281.73853414098, 347.467005508744 
421, "Line.l3", 400, 600, 105.478874639786, 70.3192497598571, 2.40177711982884, 421.915498559143, 275.479025715403, 315.679051129432 
421, "Line.l7", 400, 600, 103.873714445206, 69.2491429634708, 2.40177711982884, 415.494857780825, 275.479165843183, 315.679164073808 
421, "Line.sw1", 400, 600, 108.676346483017, 72.4508976553448, 2.40177711982884, 434.705385932069, 281.738534246716, 347.467005270282 
422, "Line.l115", 400, 600, 111.169962805486, 74.1133085369906, 2.40177711982884, 444.679851221944, 288.210736540668, 355.378241900867 
422, "Line.l3", 400, 600, 107.900575321495, 71.9337168809966, 2.40177711982884, 431.602301285979, 281.80477770425, 322.855949540954 
422, "Line.l7", 400, 600, 106.258905923341, 70.8392706155608, 2.40177711982884, 425.035623693365, 281.80492679331, 322.856069297356 
422, "Line.sw1", 400, 600, 111.169962784032, 74.113308522688, 2.40177711982884, 444.679851136128, 288.21073695747, 355.378241582956 
423, "Line.l115", 400, 600, 107.388748382792, 71.592498921861, 2.40177711982884, 429.554993531166, 278.386385220258, 343.359067770712 
423, "Line.l3", 400, 600, 104.228575679389, 69.485717119593, 2.40177711982884, 416.914302717558, 272.203058027561, 311.953021421276 
423, "Line.l7", 400, 600, 102.642334699886, 68.428223133257, 2.40177711982884, 410.569338799542, 272.203193340624, 311.953130698491 
423, "Line.sw1", 400, 600, 107.388748379853, 71.5924989199021, 2.40177711982884, 429.554993519413, 278.386385634495, 343.359067355348 
424, "Line.l115", 400, 600, 106.045789504742, 70.6971930031614, 2.40177711982884, 424.183158018968, 274.895417659695, 339.089112828087 
424, "Line.l3", 400, 600, 102.924610759313, 68.6164071728755, 2.40177711982884, 411.698443037253, 268.791816023965, 308.08241299316 
424, "Line.l7", 400, 600, 101.358141616114, 67.5720944107428, 2.40177711982884, 405.432566464457, 268.791946188999, 308.082518360505 
424, "Line.sw1", 400, 600, 106.045789589352, 70.6971930595679, 2.40177711982884, 424.183158357407, 274.895417402166, 339.089112789968 
425, "Line.l115", 400, 600, 112.315858550724, 74.8772390338159, 2.40177711982884, 449.263434202896, 290.814740830219, 358.66912080636 
425, "Line.l3", 400, 600, 109.01835914645, 72.6789060976333, 2.40177711982884, 436.0734365858, 284.348834936847, 325.845182612073 
425, "Line.l7", 400, 600, 107.36248821942, 71.5749921462799, 2.40177711982884, 429.449952877679, 284.34898756857, 325.845305096653 
425, "Line.sw1", 400, 600, 112.315858512935, 74.8772390086237, 2.40177711982884, 449.263434051742, 290.814741116389, 358.669120793213 
426, "Line.l115", 400, 600, 123.250304993793, 82.1668699958622, 2.40177711982884, 493.001219975173, 319.263846402764, 393.630232001611 
