"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
78, 1627.3498104906, 114.240427847862, 2899.62771191088, 3029.01636225886, 21.7341296109669, 43.0261929539578, 62.4264814855712
79, 1705.32414903017, 161.819302556309, 2899.62771191088, 3029.01636225886, 23.4226220564132, 46.4195840547423, 62.4264814855712
80, 1815.5475413584, 229.329537432019, 2899.62771191088, 3029.01636225886, 25.9996281521341, 51.6001479188155, 62.4264814855712
81, 1991.30694720531, 337.645468258316, 2899.62771191088, 3029.01636225886, 30.5687596237061, 60.7875987346573, 62.4264814855712
82, 2090.30450494477, 395.677379515011, 2899.62771191088, 3029.01636225886, 33.4016578490329, 66.4822085370015, 62.4264814855712
83, 2154.23613922935, 435.450547473276, 2899.62771191088, 3029.01636225886, 35.3196529921538, 70.3401153573062, 62.4264814855712
84, 2177.40637581892, 449.891667652875, 2899.62771191088, 3029.01636225886, 36.0333819593885, 71.7757963866645, 62.4264814855712
85, 2198.64151420468, 463.138991751998, 2899.62771191088, 3029.01636225886, 36.6965209415805, 73.1098732851237, 62.4264814855712
86, 2237.61278654148, 487.481039548084, 2899.62771191088, 3029.01636225886, 37.9350650108335, 75.6015083091185, 62.4264814855712
87, 2246.31096233624, 492.921025442727, 2899.62771191088, 3029.01636225886, 38.2158625981601, 76.1666443471078, 62.4264814855712
88, 2202.96061243737, 465.836223332635, 2899.62771191088, 3029.01636225886, 36.8333274358879, 73.3855047619877, 62.4264814855712
89, 2333.79869604892, 541.104255163927, 2899.62771191088, 3029.01636225886, 41.1277475769278, 82.0398455037302, 62.4264814855712
90, 2833.10624198592, 833.155248448191, 2899.62771191088, 3029.01636225886, 59.5570290502129, 119.154442733109, 62.4264814855712
91, 2976.31667716146, 925.20180979315, 2976.31667716146, 3116.80274505686, 65.8387757012237, 131.807153201602, 65.8387757012237
92, 2903.38998288227, 878.26033024055, 2976.31667716146, 3116.80274505686, 62.5918958523635, 125.267211187614, 65.8387757012237
93, 2790.1949209095, 805.679566510248, 2976.31667716146, 3116.80274505686, 57.7500879558207, 115.515266800851, 65.8387757012237
94, 2602.01338820608, 685.786470996078, 2976.31667716146, 3116.80274505686, 50.2325571796058, 100.375202079759, 65.8387757012237
95, 2317.2333790975, 516.314269105669, 2976.31667716146, 3116.80274505686, 40.1046902012533, 79.9706624930053, 65.8387757012237
96, 2001.96601732451, 330.206941834913, 2976.31667716146, 3116.80274505686, 30.5772599574411, 60.7886260333395, 65.8387757012237
97, 1787.58390695905, 215.548634930005, 2976.31667716146, 3116.80274505686, 25.3155822579641, 50.2243390372977, 65.8387757012237
98, 1689.5889156221, 155.582524561013, 2976.31667716146, 3116.80274505686, 23.0602017624102, 45.6910475719194, 65.8387757012237
99, 1649.3978491201, 131.055687953839, 2976.31667716146, 3116.80274505686, 22.1860465012328, 43.9343618904957, 65.8387757012237
100, 1661.42760327175, 138.397304386731, 2976.31667716146, 3116.80274505686, 22.4443383384771, 44.4532783015637, 65.8387757012237
101, 1722.58147993036, 175.749081308022, 2976.31667716146, 3116.80274505686, 23.7995136920608, 47.1767451551242, 65.8387757012237
102, 1917.61663326157, 295.504254174467, 2976.31667716146, 3116.80274505686, 28.5796949322382, 56.7866270727741, 65.8387757012237
103, 2329.64129735459, 541.810928354454, 2976.31667716146, 3116.80274505686, 40.9851544788067, 81.7566521318743, 65.8387757012237
104, 2656.06246948161, 738.147323946965, 2976.31667716146, 3116.80274505686, 52.9864571272487, 105.913960561615, 65.8387757012237
105, 2664.63146952606, 743.604419112017, 2976.31667716146, 3116.80274505686, 53.3274412429891, 106.59979681438, 65.8387757012237
106, 2715.28163362665, 764.59927192192, 2976.31667716146, 3116.80274505686, 54.7035651469163, 109.355352083719, 65.8387757012237
107, 2658.7687452736, 728.620749529169, 2976.31667716146, 3116.80274505686, 52.4507987215115, 104.817927275014, 65.8387757012237
108, 2628.8379824907, 709.591988003965, 2976.31667716146, 3116.80274505686, 51.2832576770858, 102.467759933294, 65.8387757012237
109, 2586.18914822002, 682.520217377457, 2976.31667716146, 3116.80274505686, 49.6475485168128, 99.1748747535175, 65.8387757012237
110, 2564.53587419895, 668.797784866944, 2976.31667716146, 3116.80274505686, 48.8293851042954, 97.527575832402, 65.8387757012237
111, 2520.42144610385, 640.869520582769, 2976.31667716146, 3116.80274505686, 47.1911741065191, 94.2300433695762, 65.8387757012237
112, 2474.25884411722, 611.702647910545, 2976.31667716146, 3116.80274505686, 45.5151435452678, 90.8563676305511, 65.8387757012237
113, 2566.44256271522, 670.009821826634, 2976.31667716146, 3116.80274505686, 48.9002899198416, 97.669973679315, 65.8387757012237
114, 3043.04819613431, 975.006122227445, 3043.04819613431, 3195.4309979058, 68.9498853268488, 138.04668971391, 68.9498853268488
115, 3252.51337664023, 1092.46899904834, 3252.51337664023, 3431.0831786923, 78.0254355564705, 156.31718907388, 78.0254355564705
116, 3223.0193528303, 1073.26532514341, 3252.51337664023, 3431.0831786923, 76.5678028193922, 153.380931256372, 78.0254355564705
117, 3102.31072246808, 994.935461521049, 3252.51337664023, 3431.0831786923, 70.7670543235228, 141.693940404397, 78.0254355564705
118, 2863.22729877617, 847.772000328504, 3252.51337664023, 3431.0831786923, 60.1275720453503, 120.259193076234, 78.0254355564705
119, 2490.26058621892, 624.297534920991, 3252.51337664023, 3431.0831786923, 45.5756732407599, 90.9463296549949, 78.0254355564705
120, 2135.40005283095, 419.757432742083, 3252.51337664023, 3431.0831786923, 34.3858995819474, 68.4498485820218, 78.0254355564705
121, 1910.11051643336, 290.904095557461, 3252.51337664023, 3431.0831786923, 28.3852850783635, 56.394943085711, 78.0254355564705
122, 1800.34317140499, 223.39919326523, 3252.51337664023, 3431.0831786923, 25.6243409999068, 50.8443310316794, 78.0254355564705
123, 1751.7932131321, 193.635991280927, 3252.51337664023, 3431.0831786923, 24.4738462656988, 48.5318390643343, 78.0254355564705
124, 1739.89476271508, 186.357438674633, 3252.51337664023, 3431.0831786923, 24.198094528158, 47.9774460234964, 78.0254355564705
125, 1797.29105120399, 221.533444428379, 3252.51337664023, 3431.0831786923, 25.5501992504696, 50.6950478799941, 78.0254355564705
126, 1978.45857254623, 333.093920060936, 3252.51337664023, 3431.0831786923, 30.216453919507, 60.0769854083259, 78.0254355564705
127, 2354.05280321098, 553.827151309244, 3252.51337664023, 3431.0831786923, 41.8179271150549, 83.4288067965274, 78.0254355564705
128, 2710.56709554053, 761.593765968049, 3252.51337664023, 3431.0831786923, 54.5134131883474, 108.972477435403, 78.0254355564705
129, 2707.36382806359, 759.550879085048, 3252.51337664023, 3431.0831786923, 54.3843711040755, 108.712600460717, 78.0254355564705
130, 2740.50234311052, 780.687988304197, 3252.51337664023, 3431.0831786923, 55.7267162124788, 111.414996864852, 78.0254355564705
131, 2731.2044310451, 774.752923430125, 3252.51337664023, 3431.0831786923, 55.3489515482744, 110.654885745143, 78.0254355564705
132, 2682.93464001389, 743.984679471548, 3252.51337664023, 3431.0831786923, 53.4084757645736, 106.748224718543, 78.0254355564705
133, 2642.88755667389, 718.522757022989, 3252.51337664023, 3431.0831786923, 51.828749986816, 103.565547712449, 78.0254355564705
134, 2626.56358784467, 708.148704093746, 3252.51337664023, 3431.0831786923, 51.1947938920144, 102.289499605672, 78.0254355564705
135, 2607.71038195471, 696.177333242548, 3252.51337664023, 3431.0831786923, 50.4682595842034, 100.826845319307, 78.0254355564705
136, 2595.28305875767, 688.292263739161, 3252.51337664023, 3431.0831786923, 49.9927780074693, 99.8695366524546, 78.0254355564705
137, 2766.68130423243, 797.413644570194, 3252.51337664023, 3431.0831786923, 56.8025015322067, 113.579894626199, 78.0254355564705
138, 3133.43000542649, 1021.86262788528, 3252.51337664023, 3431.0831786923, 72.2967887927522, 144.770601773902, 78.0254355564705
139, 3271.84309939249, 1111.80100338123, 3271.84309939249, 3455.58370440679, 79.0608132174687, 158.396391253581, 79.0608132174687
140, 3213.64259150187, 1073.92087033108, 3271.84309939249, 3455.58370440679, 76.1731498900012, 152.579377779101, 79.0608132174687
141, 3067.2306554612, 979.038188128295, 3271.84309939249, 3455.58370440679, 69.1879273671235, 138.506350254147, 79.0608132174687
142, 2836.84673310223, 830.878102668722, 3271.84309939249, 3455.58370440679, 59.0134082427334, 118.015956503029, 79.0608132174687
143, 2467.37135453591, 609.870280706908, 3271.84309939249, 3455.58370440679, 44.7621045407705, 89.3092839572231, 79.0608132174687
144, 2107.90946353629, 402.674150370063, 3271.84309939249, 3455.58370440679, 33.5724184652578, 66.8138137288335, 79.0608132174687
145, 1882.97246790174, 274.185824518176, 3271.84309939249, 3455.58370440679, 27.6820670058381, 54.9810647504342, 79.0608132174687
146, 1759.6270820983, 198.43939057257, 3271.84309939249, 3455.58370440679, 24.6562994621777, 48.8984315320947, 79.0608132174687
147, 1698.99482757791, 161.341688055526, 3271.84309939249, 3455.58370440679, 23.2712766752623, 46.114804632371, 79.0608132174687
148, 1684.36920453582, 152.416069336329, 3271.84309939249, 3455.58370440679, 22.9467946433427, 45.4625171104596, 79.0608132174687
149, 1734.37775017161, 182.989676263434, 3271.84309939249, 3455.58370440679, 24.0707774657629, 47.7213289206854, 79.0608132174687
150, 1913.57685051025, 293.040372367524, 3271.84309939249, 3455.58370440679, 28.4761161926753, 56.5775820531603, 79.0608132174687
151, 2261.15923568344, 502.209914097181, 3271.84309939249, 3455.58370440679, 38.6980655524677, 77.1369535966664, 79.0608132174687
